,Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score, CES 4.0 Percentile,CES 4.0 Percentile Range,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl,CES 4.0 Percentile,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%)
10,6037239202,5999,Los Angeles,90001,Los Angeles,-118.2649765,33.9856783,76.24,99.77,95-100% (highest scores),0.045,39.99,12.14495497,86.78,0.232,67.39,787.94,92.53,91.13,97.56,0.0,0.0,3873.586792,88.71,1052.626827,61.29,127.95,99.66,44.6,88.05,0.56,72.97,0,0.0,6.0,79.95,67.23,8.21,97.09,84.75,87.6,6.38,81.88,21.32,91.86,52.9,97.61,23.3,90.58,57.5,89.66,9.1,82.33,46.0,99.59,89.53,9.29,98.94,99.77,16.87,79.48,3.65,91.6,0.12,7.05,0.68,0.0,0.55
11,6037206050,2031,Los Angeles,90023,Los Angeles,-118.2244531,34.0299036,75.99,99.76,95-100% (highest scores),0.048,50.99,12.41537427,90.54,1.141,98.79,787.94,92.53,65.25,73.23,0.0,0.0,2566.769979,82.88,3665.685846,98.11,33.55,89.94,13.75,55.64,9.24,99.23,7,66.74,23.1,98.97,76.29,9.32,99.74,51.49,58.47,10.32,99.7,12.45,50.12,43.8,92.69,22.1,89.23,58.9,90.87,9.6,84.58,25.6,81.84,78.64,8.16,91.14,99.76,8.91,63.66,27.42,79.62,6.35,4.23,0.25,7.78,1.77
12,6037205120,3548,Los Angeles,90023,Los Angeles,-118.2117956,34.0187546,75.72,99.75,95-100% (highest scores),0.047,50.54,12.27407804,89.42,0.571,92.08,787.94,92.53,88.26,95.63,0.0,0.0,4157.740072,90.01,928.4647117,53.66,58.65,97.18,20.0,68.42,22.27,99.97,7,66.74,6.5,81.19,74.56,9.1,99.49,76.1,82.76,5.88,72.85,20.87,90.15,59.0,99.14,22.4,89.62,82.3,99.62,3.3,21.11,26.1,82.79,80.19,8.32,92.71,99.75,15.14,76.13,8.74,96.25,0.68,2.03,0.0,1.04,0.0
13,6037226002,1820,Los Angeles,90021,Los Angeles,-118.2477686,34.0326196,75.55,99.72,95-100% (highest scores),0.047,50.54,12.25156535,89.2,0.704,95.46,787.94,92.53,64.02,71.59,0.0,0.0,2428.106649,82.25,1931.043768,85.94,58.7,97.2,28.3,78.12,6.875,98.76,7,66.74,15.05,96.04,76.42,9.33,99.76,134.16,97.66,5.83,71.64,14.79,65.09,25.7,74.41,24.4,91.81,44.5,75.4,8.7,79.72,21.4,68.54,78.05,8.1,90.41,99.72,4.34,89.95,5.71,43.57,33.46,11.43,0.0,8.3,3.24
14,6037536104,3900,Los Angeles,90280,South Gate,-118.1782284,33.9448778,75.11,99.67,95-100% (highest scores),0.045,42.56,12.04869771,81.02,0.702,95.42,668.94,73.24,93.14,98.73,0.0,0.0,6048.803101,94.07,2127.781743,88.89,109.1,99.46,55.55,91.57,4.99,97.76,10,82.97,18.75,97.94,79.14,9.66,99.94,50.83,57.69,5.48,63.9,17.7,79.51,47.7,95.18,21.0,87.81,40.1,69.35,9.9,85.83,23.6,75.98,74.93,7.77,86.61,99.67,16.74,73.21,10.05,93.74,3.26,1.51,0.0,0.79,0.69
15,6037104703,2174,Los Angeles,91331,Los Angeles,-118.4005905,34.2552325,74.98,99.66,95-100% (highest scores),0.067,97.0,11.2284956,57.21,0.576,92.2,726.64,83.13,73.82,83.38,0.0,0.0,758.059672,59.58,785.071341,43.09,43.2,94.38,51.5,90.57,1.585,90.85,4,43.78,18.2,97.71,70.78,8.64,98.76,77.81,84.01,6.74,87.09,12.79,52.73,49.9,96.46,18.7,84.71,63.4,93.92,,,34.2,95.53,83.63,8.68,95.69,99.66,20.75,73.14,6.12,85.37,5.98,7.96,0.69,0.0,0.0
16,6037240500,7326,Los Angeles,90003,Los Angeles,-118.275663,33.9469248,74.91,99.65,95-100% (highest scores),0.044,35.16,12.0998549,84.43,0.321,78.44,787.94,92.53,84.24,92.84,0.0,0.0,6373.313395,94.57,3154.098167,96.53,0.95,11.93,16.0,61.55,0.06,8.76,7,66.74,7.2,83.8,63.39,7.74,94.59,113.88,95.43,7.07,90.6,27.88,99.23,50.0,96.51,14.2,75.19,63.7,94.13,12.7,93.71,38.4,98.01,93.3,9.68,99.77,99.65,17.13,76.59,6.28,72.13,0.0,26.74,0.0,0.0,1.13
17,6037291210,5768,Los Angeles,90247,Los Angeles,-118.2870814,33.8886904,74.44,99.61,95-100% (highest scores),0.042,26.7,12.06226955,81.93,0.693,95.23,806.8,94.24,78.27,87.74,25.99,67.83,58279.08212,99.92,2511.594785,92.75,16.65,77.45,60.3,92.51,8.38,99.1,0,0.0,15.95,96.47,78.23,9.55,99.9,70.46,78.74,5.81,71.26,13.6,58.0,25.6,74.34,18.0,83.35,44.3,75.11,10.3,87.39,26.8,84.46,75.13,7.79,86.81,99.61,15.36,73.47,11.17,65.41,7.06,9.71,0.26,16.89,0.68
18,6037570403,4832,Los Angeles,90805,Long Beach,-118.2044859,33.8778668,74.37,99.6,95-100% (highest scores),0.043,29.89,12.4277485,90.6,0.901,97.55,329.0,31.17,91.1,97.53,0.29,33.97,11027.86328,97.91,1778.158275,83.43,2.0,25.63,10.75,48.96,0.63,75.96,10,82.97,5.0,75.67,67.45,8.24,97.22,84.23,87.39,6.85,88.4,18.48,82.58,45.2,93.79,14.9,77.14,57.6,89.76,9.8,85.49,32.4,93.73,87.05,9.03,97.89,99.6,25.17,70.88,3.95,84.25,3.48,4.74,0.0,6.71,0.83
19,6037532302,4881,Los Angeles,90023,Commerce,-118.1751711,34.0096885,74.06,99.58,95-100% (highest scores),0.048,55.38,12.15074524,87.07,0.938,97.81,524.04,62.6,91.76,97.98,0.0,0.0,3547.573242,86.92,2783.139002,94.61,103.9,99.37,47.75,89.47,5.155,97.9,7,66.74,6.25,80.44,77.46,9.46,99.84,56.57,64.84,6.38,81.88,18.99,84.21,43.5,92.52,21.2,88.0,50.1,81.91,6.4,61.53,16.4,46.02,75.49,7.83,87.25,99.58,15.35,71.95,12.7,97.48,1.48,0.72,0.0,0.14,0.18
